id,company
1009,BARLOG Plastics GmbH
1010,Erhard Hippe KG
1011,"DURPLASTICS, S.A."
1012,BEN Kunststoffe Vertriebs- GmbH
1013,Mitsubishi Chemical Europe GmbH
1014,IKS Schön GmbH
1015,Licharz GmbH
1016,Pleiger Kunststoff GmbH & Co. KG
1017,RICO Elastomere Projecting GmbH
1018,Ascom Carbonate and Chemicals Manufacturing (ACCM)
1019,Exolon Group NV
1020,SANGIR PLASTICS PVT LTD
1021,Isik Plastik A.S.
1022,Pöppelmann Kunststoff-Technik GmbH & Co. KG
1023,T. Michel Formenbau GmbH & Co. KG
1024,TEKU GmbH Fluorkunststoffe
1025,Terbrack Kunststoff GmbH & Co. KG
1026,Kaneka Belgium N.V.
1027,Mitras Materials GmbH
1028,SIMONA AG
1029,VEKA AG Ein Unternehmen der Laumann Gruppe
1030,ALBIS Distribution GmbH & Co. KG
1031,ISO-TECH Kunststoff GmbH
1032,KRD Coatings GmbH
1033,LORENZ Kunststofftechnik GmbH
1034,Plastek UK Ltd
1035,"Kyowa Industrial Co., Ltd."
1036,PREMIUM
1037,MP3 S.R.L.
1038,MURTFELDT GmbH & Co. KG
1039,Solinatra UK Limited
1040,Omya Performance Polymer Distribution AG
1041,Unknown Company
1042,Biesterfeld Plastic GmbH
1043,BASF SE
1044,TITK - Thüringisches Institut für Textil- und Kunststoff-Forschung e.V.
1045,DK Kunststoff-Service GmbH
1046,FKuR Kunststoff GmbH
1047,K.D. Feddersen GmbH & Co. KG
1048,Celanese Sales Germany GmbH
1049,Covestro Deutschland AG
1050,Daikin Chemical Europe GmbH
1051,EMS-CHEMIE (Deutschland) Vertriebs GmbH
1052,Lehmann & Voss & Co. KG
1053,Marubeni International (Europe) GmbH Chemical Group
1054,UBE Europe GmbH
1055,Beologic NV
1056,Dow
1057,"Fraunhofer-Institut für Umwelt-, Sicherheits- und Energietechnik UMSICHT"
1058,MOCOM Compounds GmbH & Co. KG
