id,company,profile_url,hall,stand
1013,Mitsubishi Chemical Europe GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/EWgzXFRdThez5XLHxFhlWw,6,B60
1014,IKS Schön GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/nGMpkfFFRBa6seXmaJVzAg,6,D76
1019,Exolon Group NV,https://www.k-online.com/vis/v1/en/exhprofiles/p4wjSmdaSCyZY87OG4JAiw,8b,F30
1020,SANGIR PLASTICS PVT LTD,https://www.k-online.com/vis/v1/en/exhprofiles/YCdWJS7hRJy3Ayz031FJTg,5,B03-01
1021,Isik Plastik A.S.,https://www.k-online.com/vis/v1/en/exhprofiles/F14s2fafQ9aTTJ8gWu993Q,8a,K16
1022,Pöppelmann Kunststoff-Technik GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/1DFMY9zvRlu2DwgBp0MbwQ,5,B40
1023,T. Michel Formenbau GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/iBD4DwG7TQyInhDMjeprqQ,13,D93
1024,TEKU GmbH Fluorkunststoffe,https://www.k-online.com/vis/v1/en/exhprofiles/aN3tHf2ITzOlT6pBz5Bi5w,7,A03
1025,LOTTE Chemical Europe GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/Pf3W0GXLQduCPG2Vr5dUYA,6,C20
1026,Dow Deutschland Anlagengesellschaft mbH,https://www.k-online.com/vis/v1/en/exhprofiles/DXl0H7TnR46OetDVnqZwaQ,4,G04
