id,company,hall,stand,profile_url
1015,Licharz GmbH,5,F11,https://www.k-online.com/vis/v1/en/search?_query=Licharz+GmbH
1035,"Kyowa Industrial Co., Ltd.",1,A69-1,https://www.k-online.com/vis/v1/en/search?_query=Kyowa+Industrial+Co.%2C+Ltd.
1080,Merit Plastik Kaucuk Ins. San. ve Tic. A.S.,8a,C16,https://www.k-online.com/vis/v1/en/search?_query=Merit+Plastik+Kaucuk+Ins.+San.+ve+Tic.+A.S.
1124,Bekum Maschinenfabriken GmbH,14,C03,https://www.k-online.com/vis/v1/en/search?_query=Bekum+Maschinenfabriken+GmbH
1131,Calcit d.o.o.,8b,A26,https://www.k-online.com/vis/v1/en/search?_query=Calcit+d.o.o.
1140,HPL Additives Limited,5,B27,https://www.k-online.com/vis/v1/en/search?_query=HPL+Additives+Limited
1141,TotalEnergies Corbion bv,8b,F54,https://www.k-online.com/vis/v1/en/search?_query=biodegradable+polymer&f_type=profile
1146,Bjørn Thorsen A/S,6,W-03,https://www.k-online.com/vis/v1/en/search?_query=compatibilizer&f_type=profile
1147,Chr Olesen Polymers GmbH,7,B23,https://www.k-online.com/vis/v1/en/search?_query=Chr+Olesen+Polymers+GmbH
1160,Gustav Grolman GmbH & Co. KG,plan,Enter,https://www.k-online.com/vis/v1/en/search?_query=Gustav+Grolman+GmbH+%26+Co.+KG
1175,Biesse S.p.A.,3,B17,https://www.k-online.com/vis/v1/en/search?_query=Biesse+S.p.A.
1176,Trexel GmbH,13,B46,https://www.k-online.com/vis/v1/en/search?_query=Trexel+GmbH
1177,CONSTAB Polyolefin Additives GmbH,8a,F20,https://www.k-online.com/vis/v1/en/search?_query=CONSTAB+Polyolefin+Additives+GmbH
1178,Krahn Chemie Deutschland GmbH,6,A62,https://www.k-online.com/vis/v1/en/search?_query=Krahn+Chemie+Deutschland+GmbH
1179,POLYTECHS SAS,5,D04-01,https://www.k-online.com/vis/v1/en/search?_query=POLYTECHS+SAS
1180,Repi S.r.l.,6,B24,https://www.k-online.com/vis/v1/en/search?_query=Repi+S.r.l.
1181,AMIK ITALIA SPA,8b,C61,https://www.k-online.com/vis/v1/en/search?_query=AMIK+ITALIA+SPA
1182,Chemische Fabrik Budenheim KG,8a,D43,https://www.k-online.com/vis/v1/en/search?_query=Chemische+Fabrik+Budenheim+KG
1183,Everkem Srl.,8b,F51,https://www.k-online.com/vis/v1/en/search?_query=Everkem+Srl.
1184,ROWA GROUP Holding GmbH,8a,B28,https://www.k-online.com/vis/v1/en/search?_query=ROWA+GROUP+Holding+GmbH
1185,"A.F. Supercell Co., Ltd.",7,B23,https://www.k-online.com/vis/v1/en/search?_query=A.F.+Supercell+Co.%2C+Ltd.
1186,AVANZARE Innovacion Tecnologica S.L.,5,E43,https://www.k-online.com/vis/v1/en/search?_query=AVANZARE+Innovacion+Tecnologica+S.L.
1187,ENGEL AUSTRIA GmbH,15,B42..C58,https://www.k-online.com/vis/v1/en/search?_query=ENGEL+AUSTRIA+GmbH
1188,Promix Solutions AG,9,E18,https://www.k-online.com/vis/v1/en/search?_query=Promix+Solutions+AG
1189,ROWA Inc.,8a,B28,https://www.k-online.com/vis/v1/en/search?_query=ROWA+Inc.
1190,FINCO Srl,7a,B21,https://www.k-online.com/vis/v1/en/search?_query=FINCO+Srl
1191,Budin Masterbatch Plastik Sanayi ve Ticaret A.Ş.,6,E12,https://www.k-online.com/vis/v1/en/search?_query=Budin+Masterbatch+Plastik+Sanayi+ve+Ticaret+A.%C5%9E.
1192,E-LUCK PLASTIC MASTERBATCH MFY.,7,E03-05,https://www.k-online.com/vis/v1/en/search?_query=E-LUCK+PLASTIC+MASTERBATCH+MFY.
1193,FVR MASTERBATCH KIMYA SAN VE TIC LTD,8b,H27,https://www.k-online.com/vis/v1/en/search?_query=FVR+MASTERBATCH+KIMYA+SAN+VE+TIC+LTD
1194,ROWA Masterbatch GmbH,8a,B28,https://www.k-online.com/vis/v1/en/search?_query=ROWA+Masterbatch+GmbH
1223,WELSET PLAST EXTRUSIONS PVT. LTD.,5,B05-02,https://www.k-online.com/vis/v1/en/search?_query=WELSET+PLAST+EXTRUSIONS+PVT.+LTD.
1224,MD Plast S.p.A,6,E24,https://www.k-online.com/vis/v1/en/search?_query=MD+Plast+S.p.A
1225,Farrel Pomini,9,A16,https://www.k-online.com/vis/v1/en/search?_query=Farrel+Pomini
