id,company,website,location,hall,stand,contact_person,email,phone,description,products,certifications,source_search_term,source_url,relevant_goals,relevant_departments,relevant_materials,priority_score,visit_priority,company_type,meeting_requested,meeting_scheduled,meeting_completed,meeting_notes,meeting_date,samples_requested,samples_received,brochures_collected,quotes_requested,why_relevant,strengths,weaknesses,potential_value,created_at,updated_at,logo,contact,notes,contact_persons,company_data_popup,profile_url,map_link,booth_details,products_detailed,certifications_detailed,relevance_status,relevance_score,must_visit,visit_day,visit_time_slot,physical_location,similarity_tags,marked_by,marked_at,category,where_they_present,claude_analysis,balena_value,strategic_importance,connection_type,confidence_score,key_factors,red_flags,department,goal_category,website_title,about_us,products_services,sustainability_info,contact_info,website_phones,meta_description,website_emails
1009,BARLOG Plastics GmbH,,Hall 6 / D76,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"BARLOG Plastics GmbH is a plastics processing company that specializes in the development and production of innovative, sustainable, and environmentally friendly plastic solutions. This aligns well with Balena's goals of developing biodegradable and bio-based thermoplastic elastomers for the circular economy.",,,,2025-09-10 10:12:17.534914,2025-09-10 10:12:17.534922,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{""why"":""BARLOG Plastics GmbH is a plastics processing company that specializes in the development and production of innovative, sustainable, and environmentally friendly plastic solutions. This aligns well with Balena's goals of developing biodegradable and bio-based thermoplastic elastomers for the circular economy."",""score"":90,""category"":""Partners"",""department"":""Commercial""}",,,,,,,Commercial,Partners,,,,,,,,
1010,Erhard Hippe KG,,Hall 8a / F10,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Erhard Hippe KG is a German company that specializes in the production of biodegradable and compostable plastics, which aligns with Balena's goals of developing sustainable and circular economy solutions. Their expertise in this area could be valuable for Balena's R&D and operations teams.",,,,2025-09-10 10:12:22.257185,2025-09-10 10:12:22.257191,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{""why"":""Erhard Hippe KG is a German company that specializes in the production of biodegradable and compostable plastics, which aligns with Balena's goals of developing sustainable and circular economy solutions. Their expertise in this area could be valuable for Balena's R&D and operations teams."",""score"":90,""category"":""Materials, Suppliers"",""department"":""R&D, Operations""}",,,,,,,"R&D, Operations","Materials, Suppliers",,,,,,,,
1011,"DURPLASTICS, S.A.",,Hall 8a / E12-05,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"DURPLASTICS, S.A. is a plastics company that specializes in the development and production of biodegradable and bio-based materials, which aligns with Balena's goals of circular economy and sustainable plastics solutions.",,,,2025-09-10 10:12:26.801515,2025-09-10 10:12:26.801522,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{""why"":""DURPLASTICS, S.A. is a plastics company that specializes in the development and production of biodegradable and bio-based materials, which aligns with Balena's goals of circular economy and sustainable plastics solutions."",""score"":90,""category"":""Suppliers"",""department"":""Operations""}",,,,,,,Operations,Suppliers,,,,,,,,
1012,BEN Kunststoffe Vertriebs- GmbH,,,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"BEN Kunststoffe Vertriebs-GmbH is a German company that specializes in the distribution and processing of thermoplastic elastomers, which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. They could be a potential partner or supplier for Balena's operations.",,,,2025-09-10 10:12:31.289622,2025-09-10 10:12:31.28963,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{""why"":""BEN Kunststoffe Vertriebs-GmbH is a German company that specializes in the distribution and processing of thermoplastic elastomers, which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. They could be a potential partner or supplier for Balena's operations."",""score"":80,""category"":""Suppliers"",""department"":""Operations""}",,,,,,,Operations,Suppliers,,,,,,,,
1013,Mitsubishi Chemical Europe GmbH,https://eu.mitsubishi-chemical.com/about-us/,Hall 6 / B60,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Mitsubishi Chemical Europe GmbH is a leading chemical company that develops and produces a wide range of materials, including biodegradable and bio-based polymers. This aligns with Balena's goals of finding sustainable and circular solutions for the plastics industry.",,,,2025-09-10 10:12:35.71613,2025-09-10 10:12:35.716137,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{""why"":""Mitsubishi Chemical Europe GmbH is a leading chemical company that develops and produces a wide range of materials, including biodegradable and bio-based polymers. This aligns with Balena's goals of finding sustainable and circular solutions for the plastics industry."",""score"":90,""category"":""Suppliers"",""department"":""Operations""}",,,,,,,Operations,Suppliers,,,,,,,,
1014,IKS Schön GmbH,,Hall 6 / D76,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"IKS Schön GmbH is a German company that specializes in the development and production of biodegradable and compostable plastics, which aligns with Balena's goals of developing sustainable and circular economy solutions.",,,,2025-09-10 10:12:40.053348,2025-09-10 10:12:40.053354,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{""why"":""IKS Schön GmbH is a German company that specializes in the development and production of biodegradable and compostable plastics, which aligns with Balena's goals of developing sustainable and circular economy solutions."",""score"":90,""category"":""Suppliers"",""department"":""Operations""}",,,,,,,Operations,Suppliers,,,,,,,,
1015,Licharz GmbH,,Hall 5 / F11,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Licharz GmbH is a manufacturer of high-performance plastics and composites, which could be relevant to Balena's development of biodegradable and bio-based thermoplastic elastomers. They may have expertise or materials that could be useful for Balena's product development.",,,,2025-09-10 10:12:44.365013,2025-09-10 10:12:44.36502,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{""why"":""Licharz GmbH is a manufacturer of high-performance plastics and composites, which could be relevant to Balena's development of biodegradable and bio-based thermoplastic elastomers. They may have expertise or materials that could be useful for Balena's product development."",""score"":80,""category"":""Materials"",""department"":""R&D""}",,,,,,,R&D,Materials,,,,,,,,
1016,Pleiger Kunststoff GmbH & Co. KG,,Hall 5 / A22,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Pleiger Kunststoff GmbH & Co. KG is a plastics company that specializes in the development and production of biodegradable and bio-based materials, which aligns with Balena's goals of circular economy and sustainable plastics solutions.",,,,2025-09-10 10:12:48.670488,2025-09-10 10:12:48.670496,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{""why"":""Pleiger Kunststoff GmbH & Co. KG is a plastics company that specializes in the development and production of biodegradable and bio-based materials, which aligns with Balena's goals of circular economy and sustainable plastics solutions."",""score"":90,""category"":""Suppliers"",""department"":""Operations""}",,,,,,,Operations,Suppliers,,,,,,,,
1017,RICO Elastomere Projecting GmbH,,Hall 13 / A06,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"RICO Elastomere Projecting GmbH is a manufacturer of thermoplastic elastomers, which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. Their expertise in this area could be valuable for Balena's R&D efforts to source and develop sustainable materials.",,,,2025-09-10 10:12:53.129704,2025-09-10 10:12:53.129711,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{""why"":""RICO Elastomere Projecting GmbH is a manufacturer of thermoplastic elastomers, which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. Their expertise in this area could be valuable for Balena's R&D efforts to source and develop sustainable materials."",""score"":80,""category"":""Materials"",""department"":""R&D""}",,,,,,,R&D,Materials,,,,,,,,
1018,Ascom Carbonate and Chemicals Manufacturing (ACCM),,"Hall 7, level 1 / C19",,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"ACCM is a manufacturer of bio-based and biodegradable chemicals, which could be a valuable supplier of materials for Balena's BioCir® family of thermoplastic elastomers. Their expertise in sustainable chemicals aligns with Balena's goals of developing circular economy and compostable solutions.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""ACCM is a manufacturer of bio-based and biodegradable chemicals, which could be a valuable supplier of materials for Balena's BioCir® family of thermoplastic elastomers. Their expertise in sustainable chemicals aligns with Balena's goals of developing circular economy and compostable solutions."", 'department': 'Operations', 'category': 'Suppliers', 'score': 80}",,,,,,,Operations,Suppliers,,,,,,,,
